Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors
Q4 2020,Abia,30.0,146.0,31.0,37.0,19.0,0.0,0.0,0.0,18.0
Q4 2020,Adamawa,77.0,234.0,36.0,94.0,57.0,0.0,0.0,0.0,37.0
Q4 2020,Akwa Ibom,,28.0,7.0,24.0,15.0,0.0,,1.0,8.0
Q4 2020,Anambra,72.0,152.0,20.0,83.0,43.0,1.0,0.0,0.0,39.0
Q4 2020,Bauchi,154.0,685.0,90.0,140.0,74.0,0.0,0.0,0.0,66.0
Q4 2020,Bayelsa,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Q4 2020,Benue,77.0,177.0,25.0,81.0,81.0,0.0,0.0,0.0,0.0
Q4 2020,Borno,25.0,67.0,16.0,18.0,11.0,0.0,0.0,0.0,7.0
Q4 2020,Cross River,33.0,65.0,11.0,39.0,23.0,0.0,0.0,0.0,16.0
Q4 2020,Delta,67.0,182.0,36.0,111.0,70.0,0.0,0.0,0.0,41.0
Q4 2020,Ebonyi,27.0,82.0,11.0,29.0,9.0,0.0,0.0,0.0,20.0
Q4 2020,Edo,55.0,118.0,32.0,102.0,77.0,0.0,0.0,0.0,25.0
Q4 2020,Ekiti,30.0,71.0,9.0,46.0,23.0,1.0,0.0,0.0,22.0
Q4 2020,Enugu,44.0,116.0,30.0,48.0,10.0,0.0,0.0,0.0,38.0
Q4 2020,,312.0,572.0,90.0,480.0,284.0,1.0,0.0,2.0,193.0
Q4 2020,Gombe,70.0,231.0,26.0,84.0,59.0,0.0,0.0,0.0,25.0
Q4 2020,Imo,31.0,91.0,15.0,24.0,11.0,0.0,0.0,0.0,13.0
,Jigawa,92.0,318.0,64.0,177.0,118.0,0.0,0.0,0.0,59.0
,Kaduna,281.0,1010.0,224.0,363.0,194.0,0.0,0.0,0.0,169.0
Q4 2020,Kano,102.0,499.0,194.0,,90.0,0.0,0.0,2.0,38.0
Q4 2020,Katsina,77.0,277.0,39.0,107.0,80.0,0.0,0.0,0.0,27.0
Q4 2020,Kebbi,58.0,222.0,56.0,64.0,45.0,0.0,0.0,0.0,19.0
Q4 2020,Kogi,122.0,335.0,55.0,178.0,91.0,1.0,0.0,1.0,85.0
Q4 2020,Kwara,102.0,313.0,60.0,163.0,105.0,0.0,0.0,0.0,58.0
Q4 2020,Lagos,113.0,181.0,21.0,114.0,46.0,1.0,,3.0,64.0
Q4 2020,Nasarawa,200.0,513.0,65.0,271.0,114.0,0.0,0.0,0.0,157.0
Q4 2020,Niger,110.0,347.0,91.0,126.0,102.0,0.0,0.0,0.0,24.0
Q4 2020,Ogun,279.0,548.0,83.0,377.0,254.0,0.0,0.0,0.0,123.0
Q4 2020,Ondo,114.0,,84.0,155.0,107.0,0.0,0.0,1.0,47.0
Q4 2020,Osun,109.0,292.0,52.0,143.0,93.0,0.0,0.0,0.0,50.0
Q4 2020,Oyo,155.0,385.0,68.0,209.0,128.0,0.0,0.0,4.0,77.0
Q4 2020,Plateau,45.0,123.0,17.0,48.0,18.0,2.0,0.0,0.0,28.0
Q4 2020,Rivers,25.0,77.0,6.0,29.0,19.0,0.0,,0.0,10.0
Q4 2020,Sokoto,32.0,138.0,47.0,60.0,49.0,0.0,0.0,0.0,11.0
,Taraba,59.0,149.0,7.0,92.0,57.0,,0.0,0.0,35.0
Q4 2020,Yobe,56.0,383.0,60.0,53.0,28.0,0.0,0.0,0.0,25.0
Q4 2020,Zamfara,55.0,252.0,40.0,72.0,40.0,0.0,0.0,0.0,32.0
Q1 2021,Abia,44.0,119.0,35.0,36.0,7.0,0.0,0.0,0.0,29.0
Q1 2021,Adamawa,84.0,251.0,21.0,110.0,60.0,,0.0,0.0,50.0
Q1 2021,Akwa Ibom,22.0,35.0,12.0,24.0,15.0,0.0,0.0,0.0,9.0
Q1 2021,Anambra,80.0,147.0,9.0,,59.0,0.0,0.0,0.0,50.0
Q1 2021,Bauchi,131.0,634.0,115.0,153.0,77.0,0.0,0.0,0.0,76.0
Q1 2021,Bayelsa,7.0,15.0,0.0,9.0,7.0,0.0,1.0,0.0,1.0
Q1 2021,Benue,52.0,123.0,15.0,54.0,46.0,0.0,0.0,0.0,8.0
Q1 2021,Borno,31.0,78.0,24.0,46.0,31.0,0.0,0.0,0.0,15.0
Q1 2021,Cross River,25.0,50.0,30.0,31.0,17.0,0.0,0.0,0.0,14.0
Q1 2021,Delta,71.0,196.0,51.0,108.0,68.0,0.0,0.0,0.0,40.0
Q1 2021,Ebonyi,31.0,,27.0,32.0,13.0,0.0,0.0,0.0,19.0
Q1 2021,Edo,56.0,140.0,51.0,89.0,68.0,0.0,0.0,0.0,21.0
Q1 2021,Ekiti,31.0,101.0,13.0,41.0,29.0,1.0,,0.0,11.0
Q1 2021,Enugu,66.0,222.0,37.0,75.0,3.0,0.0,0.0,,72.0
Q1 2021,FCT,278.0,518.0,56.0,400.0,158.0,1.0,0.0,0.0,241.0
Q1 2021,Gombe,72.0,232.0,31.0,82.0,33.0,0.0,0.0,0.0,49.0
Q1 2021,Imo,16.0,71.0,17.0,16.0,5.0,0.0,0.0,0.0,11.0
Q1 2021,Jigawa,67.0,264.0,35.0,132.0,82.0,0.0,0.0,1.0,49.0
Q1 2021,Kaduna,256.0,1149.0,196.0,368.0,211.0,0.0,0.0,7.0,150.0
Q1 2021,Kano,137.0,604.0,100.0,184.0,110.0,0.0,0.0,3.0,71.0
Q1 2021,Katsina,71.0,287.0,29.0,93.0,74.0,0.0,0.0,0.0,19.0
Q1 2021,Kebbi,44.0,139.0,21.0,47.0,38.0,0.0,0.0,0.0,9.0
Q1 2021,Kogi,143.0,425.0,94.0,216.0,105.0,1.0,0.0,0.0,110.0
Q1 2021,Kwara,100.0,369.0,69.0,163.0,,0.0,0.0,0.0,72.0
Q1 2021,Lagos,151.0,243.0,26.0,152.0,85.0,0.0,0.0,2.0,65.0
